,Schl,Opp,PTS,OPP,Year,Date,neutral
0,Alaska-Fairbanks,Simpson (CA),110,84,2007,11/01/2007,389
1,Alaska-Fairbanks,Simpson (CA),110,84,2007,11/01/2007,389
2,Alaska-Fairbanks,Simpson (CA),110,84,2007,11/01/2007,389
3,Kentucky Wesleyan,Cal State San Bernardino,57,66,2007,11/02/2007,"@Anaheim,CA"
4,Kentucky Wesleyan,Cal State San Bernardino,57,66,2007,11/02/2007,"@Anaheim,CA"
5,Kentucky Wesleyan,Cal State San Bernardino,57,66,2007,11/02/2007,"@Anaheim,CA"
6,Metro State Denver,Montana State-Billings,72,55,2007,11/02/2007,"@Anaheim,CA"
7,Metro State Denver,Montana State-Billings,72,55,2007,11/02/2007,"@Anaheim,CA"
8,Alaska-Fairbanks,Simpson (CA),93,81,2007,11/03/2007,289
9,Alaska-Fairbanks,Simpson (CA),93,81,2007,11/03/2007,289
10,Alaska-Fairbanks,Simpson (CA),93,81,2007,11/03/2007,289
11,Montana State-Billings,Cal State San Bernardino,52,84,2007,11/03/2007,"@Anaheim,CA"
12,Montana State-Billings,Cal State San Bernardino,52,84,2007,11/03/2007,"@Anaheim,CA"
13,Metro State Denver,Kentucky Wesleyan,60,63,2007,11/03/2007,"@Anaheim,CA"
14,Metro State Denver,Kentucky Wesleyan,60,63,2007,11/03/2007,"@Anaheim,CA"
15,Metro State Denver,Cal State San Bernardino,55,65,2007,11/04/2007,"@Anaheim,CA"
16,Metro State Denver,Cal State San Bernardino,55,65,2007,11/04/2007,"@Anaheim,CA"
17,Metro State Denver,Cal State San Bernardino,55,65,2007,11/04/2007,"@Anaheim,CA"
18,Kentucky Wesleyan,Montana State-Billings,87,67,2007,11/04/2007,"@Anaheim,CA"
19,Kentucky Wesleyan,Montana State-Billings,87,67,2007,11/04/2007,"@Anaheim,CA"
20,Ohio Valley,Buffalo,82,89,2007,11/07/2007,"@Storrs,CT"
21,Ohio Valley,Buffalo,82,89,2007,11/07/2007,"@Storrs,CT"
22,Ohio Valley,Buffalo,82,89,2007,11/07/2007,"@Storrs,CT"
23,Ohio Valley,Morgan State,66,77,2007,11/08/2007,"@Storrs,CT"
24,Ohio Valley,Morgan State,66,77,2007,11/08/2007,"@Storrs,CT"
25,Ohio Valley,Morgan State,66,77,2007,11/08/2007,"@Storrs,CT"
26,East Central,Denver,75,76,2007,11/08/2007,"@Norman,OK"
27,East Central,Denver,75,76,2007,11/08/2007,"@Norman,OK"
28,Coastal Carolina,North Greenville,95,75,2007,11/09/2007,"1,049"
29,Coastal Carolina,North Greenville,95,75,2007,11/09/2007,"1,049"
30,Coastal Carolina,North Greenville,95,75,2007,11/09/2007,"1,049"
31,Indiana State,Oakland City,78,45,2007,11/09/2007,"3,713"
32,Indiana State,Oakland City,78,45,2007,11/09/2007,"3,713"
33,Saint Mary's (CA),Sonoma State,82,57,2007,11/09/2007,"2,253"
34,Saint Mary's (CA),Sonoma State,82,57,2007,11/09/2007,"2,253"
35,Saint Paul's,Coppin State,65,69,2007,11/09/2007,"@Dover,DE"
36,Saint Paul's,Coppin State,65,69,2007,11/09/2007,"@Dover,DE"
37,Winona State,North Alabama,88,82,2007,11/09/2007,"@LakeBuenaVista,FL"
38,Winona State,North Alabama,88,82,2007,11/09/2007,"@LakeBuenaVista,FL"
39,Jefferson (PA),Assumption,65,80,2007,11/09/2007,"@LakeBuenaVista,FL"
40,Jefferson (PA),Assumption,65,80,2007,11/09/2007,"@LakeBuenaVista,FL"
41,UC San Diego,Drake,63,81,2007,11/09/2007,"@Moraga,CA"
42,UC San Diego,Drake,63,81,2007,11/09/2007,"@Moraga,CA"
43,East Central,San Francisco,70,87,2007,11/09/2007,"@Norman,OK"
44,East Central,San Francisco,70,87,2007,11/09/2007,"@Norman,OK"
45,Grand Valley State,Columbus State,83,71,2007,11/09/2007,"@Orlando,FL"
46,Grand Valley State,Columbus State,83,71,2007,11/09/2007,"@Orlando,FL"
47,Stonehill,Barry,74,54,2007,11/09/2007,"@Orlando,FL"
48,Stonehill,Barry,74,54,2007,11/09/2007,"@Orlando,FL"
49,Oral Roberts,Southwestern Oklahoma State,84,59,2007,11/09/2007,"4,414"
50,Oral Roberts,Southwestern Oklahoma State,84,59,2007,11/09/2007,"4,414"
51,Stetson,Palm Beach Atlantic,56,54,2007,11/09/2007,"1,857"
52,Stetson,Palm Beach Atlantic,56,54,2007,11/09/2007,"1,857"
53,Miami (FL),Florida Southern,104,61,2007,11/09/2007,"2,367"
54,Miami (FL),Florida Southern,104,61,2007,11/09/2007,"2,367"
55,Milwaukee,Upper Iowa,78,53,2007,11/09/2007,"3,024"
56,Milwaukee,Upper Iowa,78,53,2007,11/09/2007,"3,024"
57,Santa Clara,Cal State Monterey Bay,66,49,2007,11/09/2007,"1,722"
58,Santa Clara,Cal State Monterey Bay,66,49,2007,11/09/2007,"1,722"
59,Campbell,Coker,76,47,2007,11/10/2007,801
60,Campbell,Coker,76,47,2007,11/10/2007,801
61,Campbell,Coker,76,47,2007,11/10/2007,801
62,Stonehill,Grand Valley State,72,76,2007,11/10/2007,"@Orlando,FL"
63,Stonehill,Grand Valley State,72,76,2007,11/10/2007,"@Orlando,FL"
64,South Alabama,West Florida,73,41,2007,11/10/2007,"4,976"
65,South Alabama,West Florida,73,41,2007,11/10/2007,"4,976"
66,East Carolina,Limestone,78,60,2007,11/10/2007,"3,645"
67,East Carolina,Limestone,78,60,2007,11/10/2007,"3,645"
68,Texas-Rio Grande Valley,Texas-Permian Basin,77,65,2007,11/10/2007,"1,353"
69,Texas-Rio Grande Valley,Texas-Permian Basin,77,65,2007,11/10/2007,"1,353"
70,TCU,Angelo State,89,70,2007,11/10/2007,"3,043"
71,TCU,Angelo State,89,70,2007,11/10/2007,"3,043"
72,Wyoming,Colorado-Colorado Springs,87,63,2007,11/10/2007,"5,363"
73,Wyoming,Colorado-Colorado Springs,87,63,2007,11/10/2007,"5,363"
74,Delaware State,Saint Paul's,70,69,2007,11/10/2007,368
75,Delaware State,Saint Paul's,70,69,2007,11/10/2007,368
76,Loyola (IL),Le Moyne,73,57,2007,11/10/2007,600
77,Loyola (IL),Le Moyne,73,57,2007,11/10/2007,600
78,Western Kentucky,West Virginia Wesleyan,78,45,2007,11/10/2007,"5,700"
79,Western Kentucky,West Virginia Wesleyan,78,45,2007,11/10/2007,"5,700"
80,Charleston Southern,Anderson (SC),85,74,2007,11/10/2007,823
81,Charleston Southern,Anderson (SC),85,74,2007,11/10/2007,823
82,Sam Houston State,Dallas Baptist,86,69,2007,11/10/2007,"1,086"
83,Sam Houston State,Dallas Baptist,86,69,2007,11/10/2007,"1,086"
84,Winthrop,Queens (NC),68,61,2007,11/10/2007,"3,311"
85,Winthrop,Queens (NC),68,61,2007,11/10/2007,"3,311"
86,Winona State,Jefferson (PA),66,62,2007,11/10/2007,"@LakeBuenaVista,FL"
87,Winona State,Jefferson (PA),66,62,2007,11/10/2007,"@LakeBuenaVista,FL"
88,North Alabama,Assumption,78,85,2007,11/10/2007,"@LakeBuenaVista,FL"
89,North Alabama,Assumption,78,85,2007,11/10/2007,"@LakeBuenaVista,FL"
90,Columbus State,Barry,89,64,2007,11/10/2007,"@Orlando,FL"
91,Columbus State,Barry,89,64,2007,11/10/2007,"@Orlando,FL"
92,North Texas,Cameron,106,53,2007,11/10/2007,"3,136"
93,North Texas,Cameron,106,53,2007,11/10/2007,"3,136"
94,Northern Arizona,Adams State,78,65,2007,11/11/2007,827
95,Northern Arizona,Adams State,78,65,2007,11/11/2007,827
96,Northern Arizona,Adams State,78,65,2007,11/11/2007,827
97,Kansas State,Pittsburg State,76,66,2007,11/11/2007,"12,390"
98,Kansas State,Pittsburg State,76,66,2007,11/11/2007,"12,390"
99,Cal State Fullerton,Cal State Los Angeles,87,67,2007,11/11/2007,914
100,Cal State Fullerton,Cal State Los Angeles,87,67,2007,11/11/2007,914
101,Illinois State,Missouri-St. Louis,70,37,2007,11/11/2007,"4,185"
102,Illinois State,Missouri-St. Louis,70,37,2007,11/11/2007,"4,185"
103,Grand Valley State,Barry,53,46,2007,11/11/2007,"@Orlando,FL"
104,Grand Valley State,Barry,53,46,2007,11/11/2007,"@Orlando,FL"
105,Jefferson (PA),North Alabama,62,90,2007,11/11/2007,"@LakeBuenaVista,FL"
106,Jefferson (PA),North Alabama,62,90,2007,11/11/2007,"@LakeBuenaVista,FL"
107,Winona State,Assumption,93,74,2007,11/11/2007,"@LakeBuenaVista,FL"
108,Winona State,Assumption,93,74,2007,11/11/2007,"@LakeBuenaVista,FL"
109,Stonehill,Columbus State,113,114,2007,11/11/2007,"@Orlando,FL"
110,Stonehill,Columbus State,113,114,2007,11/11/2007,"@Orlando,FL"
111,UNC Asheville,Lees-McRae,74,48,2007,11/11/2007,794
112,UNC Asheville,Lees-McRae,74,48,2007,11/11/2007,794
113,South Dakota State,Mary,61,54,2007,11/12/2007,"1,367"
114,South Dakota State,Mary,61,54,2007,11/12/2007,"1,367"
115,South Dakota State,Mary,61,54,2007,11/12/2007,"1,367"
116,Florida International,Florida Tech,80,66,2007,11/12/2007,715
117,Florida International,Florida Tech,80,66,2007,11/12/2007,715
118,Cal State San Bernardino,Weber State,71,59,2007,11/12/2007,"@LosAngeles,CA"
119,Cal State San Bernardino,Weber State,71,59,2007,11/12/2007,"@LosAngeles,CA"
120,Central Missouri,Fordham,66,76,2007,11/12/2007,"@Columbia,MO"
121,Central Missouri,Fordham,66,76,2007,11/12/2007,"@Columbia,MO"
122,San Diego,Cal State Monterey Bay,87,76,2007,11/12/2007,"1,294"
123,San Diego,Cal State Monterey Bay,87,76,2007,11/12/2007,"1,294"
124,Kansas City,Washburn,79,75,2007,11/13/2007,"1,277"
125,Kansas City,Washburn,79,75,2007,11/13/2007,"1,277"
126,Kansas City,Washburn,79,75,2007,11/13/2007,"1,277"
127,Gardner-Webb,North Greenville,99,74,2007,11/13/2007,"3,100"
128,Gardner-Webb,North Greenville,99,74,2007,11/13/2007,"3,100"
129,Western Kentucky,Kentucky Wesleyan,88,67,2007,11/13/2007,"4,848"
130,Western Kentucky,Kentucky Wesleyan,88,67,2007,11/13/2007,"4,848"
131,Texas-Rio Grande Valley,Texas A&M-International,101,77,2007,11/13/2007,652
132,Texas-Rio Grande Valley,Texas A&M-International,101,77,2007,11/13/2007,652
133,Nevada-Las Vegas,Utah Tech,97,66,2007,11/13/2007,"8,034"
134,Nevada-Las Vegas,Utah Tech,97,66,2007,11/13/2007,"8,034"
135,UCLA,Cal State San Bernardino,76,41,2007,11/13/2007,"7,293"
136,UCLA,Cal State San Bernardino,76,41,2007,11/13/2007,"7,293"
137,Northern Michigan,ULM,53,60,2007,11/13/2007,"@EastLansing,MI"
138,Northern Michigan,ULM,53,60,2007,11/13/2007,"@EastLansing,MI"
139,Wofford,Lees-McRae,80,38,2007,11/13/2007,388
140,Wofford,Lees-McRae,80,38,2007,11/13/2007,388
141,Elon,Erskine,77,58,2007,11/13/2007,408
142,Elon,Erskine,77,58,2007,11/13/2007,408
143,Liberty,Coker,64,49,2007,11/13/2007,"1,427"
144,Liberty,Coker,64,49,2007,11/13/2007,"1,427"
145,Texas State,Dallas Baptist,99,84,2007,11/13/2007,912
146,Texas State,Dallas Baptist,99,84,2007,11/13/2007,912
147,Central Missouri,Central Michigan,75,70,2007,11/13/2007,"@Columbia,MO"
148,Central Missouri,Central Michigan,75,70,2007,11/13/2007,"@Columbia,MO"
149,Savannah State,South Carolina-Aiken,71,65,2007,11/13/2007,977
150,Savannah State,South Carolina-Aiken,71,65,2007,11/13/2007,977
151,Tennessee,Arkansas-Monticello,101,44,2007,11/14/2007,"17,946"
152,Tennessee,Arkansas-Monticello,101,44,2007,11/14/2007,"17,946"
153,Tennessee,Arkansas-Monticello,101,44,2007,11/14/2007,"17,946"
154,Louisiana,North Alabama,79,67,2007,11/14/2007,"3,975"
155,Louisiana,North Alabama,79,67,2007,11/14/2007,"3,975"
156,Northern Michigan,Chicago State,50,89,2007,11/14/2007,"@EastLansing,MI"
157,Northern Michigan,Chicago State,50,89,2007,11/14/2007,"@EastLansing,MI"
158,North Carolina A&T,Anderson (SC),86,50,2007,11/14/2007,"3,226"
159,North Carolina A&T,Anderson (SC),86,50,2007,11/14/2007,"3,226"
160,Air Force,Western Colorado,73,49,2007,11/14/2007,"2,401"
161,Air Force,Western Colorado,73,49,2007,11/14/2007,"2,401"
162,Belmont Abbey,Concord,82,84,2007,11/15/2007,300
163,Belmont Abbey,Concord,82,84,2007,11/15/2007,300
164,Belmont Abbey,Concord,82,84,2007,11/15/2007,300
165,Chowan,Queens (NC),73,74,2007,11/15/2007,326
166,Chowan,Queens (NC),73,74,2007,11/15/2007,326
167,North Georgia,West Georgia,68,72,2007,11/15/2007,850
168,North Georgia,West Georgia,68,72,2007,11/15/2007,850
169,Arkansas Tech,Rhema,98,55,2007,11/15/2007,391
170,Arkansas Tech,Rhema,98,55,2007,11/15/2007,391
