,Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,WC,LC,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes,Year
0,1,Loyola Marymount,West Coast Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
1,2,Pepperdine,West Coast Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,Portland,West Coast Conference,1,0,1.0,,,,,,78.0,73.0,,0.0,-5.0,,,,,,,2023
3,4,Saint Mary's (CA),West Coast Conference,1,0,1.0,,,,,,,,,,,,23.0,23.0,,,,2023
4,5,San Diego,West Coast Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
5,6,San Francisco,West Coast Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
6,7,Pacific,West Coast Conference,0,1,0.0,,,,,,57.0,64.0,,0.0,7.0,,,,,,,2023
7,8,Gonzaga,West Coast Conference,0,0,,,,,,,,,,,,,11.0,11.0,,,,2023
8,9,Santa Clara,West Coast Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Charlotte,American Athletic Conference,1,0,1.0,,,,,,69.0,52.0,,0.0,-17.0,,,,,,,2023
1,2,East Carolina,American Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
2,3,Memphis,American Athletic Conference,1,0,1.0,,,,,,94.0,77.0,,0.0,-17.0,,,,,,,2023
3,4,North Texas,American Athletic Conference,1,0,1.0,,,,,,83.0,77.0,,0.0,-6.0,,,,,,,2023
4,5,Rice,American Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
5,6,Southern Methodist,American Athletic Conference,1,0,1.0,,,,,,,,,,,,,,,,,2023
6,7,Temple,American Athletic Conference,1,0,1.0,,,,,,85.0,65.0,,0.0,-20.0,,,,,,,2023
7,8,Tulane,American Athletic Conference,1,0,1.0,,,,,,91.0,81.0,,0.0,-10.0,,,,,,,2023
8,9,Tulsa,American Athletic Conference,1,0,1.0,,,,,,70.0,53.0,,0.0,-17.0,,,,,,,2023
9,10,UTSA,American Athletic Conference,1,0,1.0,,,,,,78.0,68.0,,0.0,-10.0,,,,,,,2023
10,11,Wichita State,American Athletic Conference,1,0,1.0,,,,,,76.0,59.0,,0.0,-17.0,,,,,,,2023
11,12,UAB,American Athletic Conference,0,1,0.0,,,,,,71.0,73.0,,0.0,2.0,,,,,,,2023
12,13,Florida Atlantic,American Athletic Conference,0,0,,,,,,,,,,,,,10.0,10.0,,,,2023
13,14,South Florida,American Athletic Conference,0,0,,,,,,,,,,,,,,,,,,2023
0,1,Boston College,Atlantic Coast Conference,1,0,1.0,,,,,,89.0,70.0,,0.0,-19.0,,,,,,,2023
1,2,Clemson,Atlantic Coast Conference,1,0,1.0,,,,,,78.0,56.0,,0.0,-22.0,,,,,,,2023
2,3,Duke,Atlantic Coast Conference,1,0,1.0,,,,,,92.0,54.0,,0.0,-38.0,,2.0,2.0,,,,2023
3,4,Georgia Tech,Atlantic Coast Conference,1,0,1.0,,,,,,84.0,62.0,,0.0,-22.0,,,,,,,2023
4,5,Louisville,Atlantic Coast Conference,1,0,1.0,,,,,,94.0,93.0,,0.0,-1.0,,,,,,,2023
