,Schl,Opp,PTS,OPP,Year,Date,neutral
0,Stephen F. Austin,Texas-Tyler,63,47,2007,11/09/2007,False
1,Stephen F. Austin,Texas-Tyler,63,47,2007,11/09/2007,False
2,Stephen F. Austin,Texas-Tyler,63,47,2007,11/09/2007,False
3,The Citadel,Daniel Webster,131,79,2007,11/09/2007,True
4,The Citadel,Daniel Webster,131,79,2007,11/09/2007,True
5,UTSA,Hardin-Simmons,69,47,2007,11/09/2007,False
6,UTSA,Hardin-Simmons,69,47,2007,11/09/2007,False
7,Davidson,Emory,120,56,2007,11/09/2007,False
8,Davidson,Emory,120,56,2007,11/09/2007,False
9,Little Rock,Ozarks (AR),92,54,2007,11/09/2007,False
10,Little Rock,Ozarks (AR),92,54,2007,11/09/2007,False
11,UC Davis,La Verne,97,55,2007,11/11/2007,False
12,UC Davis,La Verne,97,55,2007,11/11/2007,False
13,UC Davis,La Verne,97,55,2007,11/11/2007,False
14,Oakland,Adrian,86,46,2007,11/11/2007,False
15,Oakland,Adrian,86,46,2007,11/11/2007,False
16,Sacramento State,Simpson (CA),104,71,2007,11/12/2007,False
17,Sacramento State,Simpson (CA),104,71,2007,11/12/2007,False
18,Sacramento State,Simpson (CA),104,71,2007,11/12/2007,False
19,Lamar,LeTourneau,103,64,2007,11/13/2007,False
20,Lamar,LeTourneau,103,64,2007,11/13/2007,False
21,Lamar,LeTourneau,103,64,2007,11/13/2007,False
22,Western Kentucky,Thomas More,56,38,2007,11/13/2007,True
23,Western Kentucky,Thomas More,56,38,2007,11/13/2007,True
24,Prairie View,Schreiner,88,59,2007,11/14/2007,False
25,Prairie View,Schreiner,88,59,2007,11/14/2007,False
26,Prairie View,Schreiner,88,59,2007,11/14/2007,False
27,New Hampshire,Suffolk,95,46,2007,11/14/2007,True
28,New Hampshire,Suffolk,95,46,2007,11/14/2007,True
29,Drake,Cornell (IA),92,55,2007,11/14/2007,True
30,Drake,Cornell (IA),92,55,2007,11/14/2007,True
31,Western Carolina,Methodist,87,76,2007,11/14/2007,False
32,Western Carolina,Methodist,87,76,2007,11/14/2007,False
33,Winona State,Bethany Lutheran,119,57,2007,11/15/2007,False
34,Winona State,Bethany Lutheran,119,57,2007,11/15/2007,False
35,Winona State,Bethany Lutheran,119,57,2007,11/15/2007,False
36,Morehouse,Fisk,95,59,2007,11/15/2007,False
37,Morehouse,Fisk,95,59,2007,11/15/2007,False
38,Redlands,Menlo,65,61,2007,11/16/2007,False
39,Redlands,Menlo,65,61,2007,11/16/2007,False
40,Redlands,Menlo,65,61,2007,11/16/2007,False
41,E Connecticut,Eastern Nazarene,79,60,2007,11/16/2007,True
42,E Connecticut,Eastern Nazarene,79,60,2007,11/16/2007,True
43,Keene State,Lesley,106,70,2007,11/16/2007,False
44,Keene State,Lesley,106,70,2007,11/16/2007,False
45,MA Dartmouth,Albertus Magnus,102,51,2007,11/16/2007,False
46,MA Dartmouth,Albertus Magnus,102,51,2007,11/16/2007,False
47,Keystone,Hilbert,70,61,2007,11/16/2007,False
48,Keystone,Hilbert,70,61,2007,11/16/2007,False
49,UHSP,Dubuque,54,75,2007,11/16/2007,False
50,UHSP,Dubuque,54,75,2007,11/16/2007,False
51,Loras,Clarke,71,84,2007,11/16/2007,False
52,Loras,Clarke,71,84,2007,11/16/2007,False
53,Wartburg,Aurora,63,54,2007,11/16/2007,False
54,Wartburg,Aurora,63,54,2007,11/16/2007,False
55,Drew,Washington & Lee,57,55,2007,11/16/2007,False
56,Drew,Washington & Lee,57,55,2007,11/16/2007,False
57,Juniata,Lancaster Bible,80,69,2007,11/16/2007,False
58,Juniata,Lancaster Bible,80,69,2007,11/16/2007,False
59,Stevens Institute,Skidmore,72,55,2007,11/16/2007,True
60,Stevens Institute,Skidmore,72,55,2007,11/16/2007,True
61,Dominican (IL),Lawrence,72,87,2007,11/16/2007,True
62,Dominican (IL),Lawrence,72,87,2007,11/16/2007,True
63,Marian WI,Cornell (IA),88,64,2007,11/16/2007,False
64,Marian WI,Cornell (IA),88,64,2007,11/16/2007,False
65,Wisconsin Lutheran,Coe,72,63,2007,11/16/2007,True
66,Wisconsin Lutheran,Coe,72,63,2007,11/16/2007,True
67,McNeese State,Louisiana College,65,45,2007,11/16/2007,True
68,McNeese State,Louisiana College,65,45,2007,11/16/2007,True
69,St. Mary's (TX),Schreiner,95,46,2007,11/16/2007,True
70,St. Mary's (TX),Schreiner,95,46,2007,11/16/2007,True
71,La Roche,Penn State-Beaver,76,69,2007,11/16/2007,False
72,La Roche,Penn State-Beaver,76,69,2007,11/16/2007,False
73,Mt. Aloysius,Salisbury,80,83,2007,11/16/2007,True
74,Mt. Aloysius,Salisbury,80,83,2007,11/16/2007,True
75,Wabash,Ky. Christian,96,88,2007,11/16/2007,True
76,Wabash,Ky. Christian,96,88,2007,11/16/2007,True
77,Wooster,Farmingdale State,106,81,2007,11/16/2007,True
78,Wooster,Farmingdale State,106,81,2007,11/16/2007,True
79,Dallas,Huntingdon,75,71,2007,11/16/2007,True
80,Dallas,Huntingdon,75,71,2007,11/16/2007,True
81,Rochester (NY),SUNY New Paltz,73,43,2007,11/16/2007,False
82,Rochester (NY),SUNY New Paltz,73,43,2007,11/16/2007,False
83,Babson,Connecticut College,50,52,2007,11/16/2007,True
84,Babson,Connecticut College,50,52,2007,11/16/2007,True
85,Wheaton (MA),Norwich,84,50,2007,11/16/2007,True
86,Wheaton (MA),Norwich,84,50,2007,11/16/2007,True
87,Mount Union,Hiram,95,84,2007,11/16/2007,False
88,Mount Union,Hiram,95,84,2007,11/16/2007,False
89,Texas-Permian Basin,Howard Payne,108,54,2007,11/16/2007,True
90,Texas-Permian Basin,Howard Payne,108,54,2007,11/16/2007,True
91,Lewis & Clark,Northwest_WA,75,67,2007,11/16/2007,True
92,Lewis & Clark,Northwest_WA,75,67,2007,11/16/2007,True
93,Holy Names,Linfield,79,81,2007,11/16/2007,True
94,Holy Names,Linfield,79,81,2007,11/16/2007,True
95,Evergreen State,Pacific (OR),87,49,2007,11/16/2007,True
96,Evergreen State,Pacific (OR),87,49,2007,11/16/2007,True
97,Puget Sound,Corban,124,95,2007,11/16/2007,False
98,Puget Sound,Corban,124,95,2007,11/16/2007,False
99,College of Idaho,Willamette,63,72,2007,11/16/2007,False
