,ht,at,n,Date,Year,PTS,OPP,OT
0,Vermont,Maine,False,20041003,2005,1,7,0
1,Notre Dame,Minnesota Duluth,False,20041007,2005,2,2,1
2,Michigan,Northeastern,False,20041008,2005,2,4,0
3,Vermont,Sacred Heart,False,20041008,2005,6,0,0
4,Providence,Clarkson,False,20041008,2005,4,2,0
5,Ferris State,Colgate,False,20041008,2005,4,5,0
6,Miami (OH),Boston University,False,20041008,2005,5,1,0
7,Maine,North Dakota,False,20041008,2005,3,4,1
8,Notre Dame,Minnesota Duluth,False,20041008,2005,1,4,0
9,Niagara,UMass Lowell,False,20041009,2005,2,3,1
10,St. Lawrence,St. Cloud State,False,20041009,2005,1,1,1
11,Michigan,Boston University,False,20041009,2005,7,2,0
12,New Hampshire,Ohio State,False,20041009,2005,5,1,0
13,Merrimack,Rensselaer,False,20041009,2005,5,3,0
14,UMass,Clarkson,False,20041009,2005,9,4,0
15,Maine,North Dakota,False,20041009,2005,1,3,0
16,Ferris State,Colgate,False,20041009,2005,2,4,0
17,Miami (OH),Northeastern,False,20041009,2005,6,2,0
18,Omaha,UConn,False,20041009,2005,4,1,0
19,Minnesota,Denver,False,20041009,2005,5,2,0
20,Ohio State,St. Cloud State,False,20041010,2005,1,3,0
21,UConn,Rensselaer,False,20041010,2005,3,3,1
22,New Hampshire,St. Lawrence,False,20041010,2005,4,2,0
23,Omaha,Merrimack,False,20041010,2005,4,3,0
24,Bentley,Air Force,False,20041015,2005,2,2,1
25,Boston College,Denver,False,20041015,2005,6,2,0
26,Maine,Niagara,False,20041015,2005,4,3,0
27,Colgate,Lake Superior State,False,20041015,2005,3,2,0
28,Providence,Merrimack,False,20041015,2005,5,4,0
29,Quinnipiac,American International,False,20041015,2005,3,2,0
30,Michigan Tech,Minnesota Duluth,False,20041015,2005,4,5,0
31,Michigan State,St. Lawrence,False,20041015,2005,1,3,0
32,Miami (OH),Notre Dame,False,20041015,2005,4,2,0
33,Ferris State,Ohio State,False,20041015,2005,2,4,0
34,Western Michigan,Alaska,False,20041015,2005,5,4,0
35,Michigan,New Hampshire,False,20041015,2005,4,4,1
36,Wisconsin,Mercyhurst,False,20041015,2005,3,2,0
37,St. Cloud State,Northern Michigan,False,20041015,2005,2,1,0
38,Minnesota State,North Dakota,False,20041015,2005,2,2,1
39,Minnesota,UMass,False,20041015,2005,1,0,0
40,Colorado College,Union,False,20041015,2005,4,2,0
41,Alaska Anchorage,Minnesota,False,20041015,2005,3,2,0
42,Canisius,UMass,False,20041015,2005,1,2,0
43,Wayne State (MI),Clarkson,False,20041016,2005,5,4,0
44,American International,Air Force,False,20041016,2005,0,4,0
45,Sacred Heart,Army,False,20041016,2005,4,1,0
46,Ferris State,Ohio State,False,20041016,2005,3,4,1
47,Boston University,Vermont,False,20041016,2005,4,1,0
48,Northeastern,Denver,False,20041016,2005,2,4,0
49,Maine,Niagara,False,20041016,2005,6,2,0
50,Colgate,Lake Superior State,False,20041016,2005,2,1,1
51,Quinnipiac,Bentley,False,20041016,2005,3,0,0
52,Rensselaer,UConn,False,20041016,2005,4,1,0
53,Michigan Tech,Minnesota Duluth,False,20041016,2005,4,7,0
54,Michigan,St. Lawrence,False,20041016,2005,5,2,0
55,Miami (OH),Notre Dame,False,20041016,2005,5,0,0
56,Wisconsin,Mercyhurst,False,20041016,2005,8,0,0
57,St. Cloud State,Northern Michigan,False,20041016,2005,2,4,0
58,Western Michigan,Alaska,False,20041016,2005,3,5,0
59,Minnesota State,North Dakota,False,20041016,2005,1,2,0
60,Colorado College,Union,False,20041016,2005,4,2,0
61,Michigan State,New Hampshire,False,20041017,2005,5,1,0
62,Wayne State (MI),Clarkson,False,20041017,2005,3,5,0
63,Northeastern,Rensselaer,False,20041019,2005,4,7,0
64,UMass Lowell,Boston College,False,20041019,2005,2,3,0
