,ht,at,n,Date,Year,PTS,OPP,OT
0,Miami (OH),Ferris State,False,20221001,2023,2,2,1
1,UMass Lowell,St. Lawrence,False,20221001,2023,4,0,0
2,Northern Michigan,Bowling Green,False,20221001,2023,4,6,0
3,Boston University,Bentley,False,20221001,2023,8,2,0
4,Union,Rochester,False,20221001,2023,4,3,0
5,Mercyhurst,Ohio State,False,20221001,2023,2,4,0
6,St. Thomas - Minnesota,St. Cloud State,False,20221001,2023,1,3,0
7,Minnesota Duluth,Arizona State,False,20221001,2023,3,2,1
8,Vermont,UConn,False,20221001,2023,1,4,0
9,Northeastern,Long Island University,False,20221001,2023,3,2,1
10,Minnesota,Lindenwood,False,20221001,2023,4,0,0
11,Alaska Anchorage,Western Michigan,False,20221001,2023,3,1,0
12,Alaska,American International,False,20221001,2023,1,1,1
13,Miami (OH),Ferris State,False,20221002,2023,4,1,0
14,Army,Union,False,20221002,2023,2,2,1
15,Mercyhurst,Ohio State,False,20221002,2023,1,4,0
16,Vermont,UConn,False,20221002,2023,1,3,0
17,St. Cloud State,St. Thomas - Minnesota,False,20221002,2023,4,0,0
18,Minnesota Duluth,Arizona State,False,20221002,2023,4,1,0
19,Northern Michigan,Bowling Green,False,20221002,2023,4,3,1
20,Minnesota,Lindenwood,False,20221002,2023,6,4,0
21,Alaska,American International,False,20221002,2023,2,1,0
22,Alaska Anchorage,Western Michigan,False,20221002,2023,1,4,0
23,Penn State,Canisius,False,20221007,2023,5,2,0
24,Providence,Sacred Heart,False,20221007,2023,6,1,0
25,Rensselaer,Mercyhurst,False,20221007,2023,6,3,0
26,Boston College,Quinnipiac,False,20221007,2023,0,4,0
27,Clarkson,New Hampshire,False,20221007,2023,3,4,1
28,Colgate,Northern Michigan,False,20221007,2023,2,3,0
29,St. Lawrence,Merrimack,False,20221007,2023,3,1,0
30,Michigan State,Bowling Green,False,20221007,2023,1,3,0
31,Michigan,Lindenwood,False,20221007,2023,7,4,0
32,Ohio State,Wisconsin,False,20221007,2023,3,1,0
33,Rochester,Army,False,20221007,2023,3,2,0
34,UConn,Union,False,20221007,2023,4,1,0
35,Ferris State,Michigan Tech,False,20221007,2023,2,1,0
36,UMass Lowell,Miami (OH),False,20221007,2023,1,3,0
37,Northeastern,Vermont,False,20221007,2023,5,2,0
38,Minnesota,Minnesota State,False,20221007,2023,4,1,0
39,North Dakota,Holy Cross,False,20221007,2023,6,0,0
40,Omaha,Niagara,False,20221007,2023,3,4,0
41,St. Thomas - Minnesota,Alaska,False,20221007,2023,2,4,0
42,Bemidji State,Arizona State,False,20221007,2023,0,3,0
43,Denver,Notre Dame,False,20221007,2023,5,2,0
44,Air Force,Maine,False,20221007,2023,1,4,0
45,Colorado College,Alaska Anchorage,False,20221007,2023,6,2,0
46,Colgate,Northern Michigan,False,20221008,2023,1,4,0
47,UConn,Union,False,20221008,2023,4,3,1
48,Ohio State,Wisconsin,False,20221008,2023,4,3,0
49,Stonehill,Long Island University,False,20221008,2023,1,7,0
50,Rochester,Army,False,20221008,2023,4,1,0
51,Penn State,Canisius,False,20221008,2023,7,5,0
52,UMass Lowell,Miami (OH),False,20221008,2023,4,2,0
53,North Dakota,Holy Cross,False,20221008,2023,4,1,0
54,Rensselaer,Mercyhurst,False,20221008,2023,3,2,1
55,Clarkson,Merrimack,False,20221008,2023,2,3,0
56,St. Lawrence,New Hampshire,False,20221008,2023,1,4,0
57,Michigan,Lindenwood,False,20221008,2023,3,1,0
58,Northeastern,Vermont,False,20221008,2023,5,0,0
59,American International,UMass,False,20221008,2023,2,2,1
60,Minnesota,Minnesota State,False,20221008,2023,2,3,0
61,St. Thomas - Minnesota,Alaska,False,20221008,2023,3,2,1
62,Bemidji State,Arizona State,False,20221008,2023,5,4,1
63,Bowling Green,Michigan State,False,20221008,2023,1,2,0
64,Ferris State,Western Michigan,False,20221008,2023,4,6,0
65,Air Force,Notre Dame,False,20221008,2023,5,5,1
66,Colorado College,Alaska Anchorage,False,20221008,2023,4,1,0
67,Denver,Maine,False,20221008,2023,3,1,0
68,Omaha,Niagara,False,20221008,2023,3,4,0
69,Quinnipiac,Long Island University,False,20221009,2023,2,2,1
70,Penn State,Mercyhurst,False,20221013,2023,6,3,0
71,Union,Bentley,False,20221013,2023,5,1,0
72,Holy Cross,Sacred Heart,False,20221013,2023,2,3,0
73,Providence,Clarkson,False,20221013,2023,5,2,0
74,Western Michigan,Bowling Green,False,20221013,2023,4,1,0
75,Michigan State,UMass Lowell,False,20221013,2023,4,3,0
76,Alaska,Michigan Tech,False,20221013,2023,0,2,0
77,Holy Cross,Sacred Heart,False,20221014,2023,1,5,0
78,Mercyhurst,Penn State,False,20221014,2023,1,4,0
79,Niagara,American International,False,20221014,2023,3,6,0
80,St. Lawrence,Colorado College,False,20221014,2023,5,1,0
81,Rensselaer,Long Island University,False,20221014,2023,1,0,0
82,UMass,Denver,False,20221014,2023,4,2,0
83,Michigan,Boston University,False,20221014,2023,9,2,0
84,UConn,Ohio State,False,20221014,2023,0,0,1
85,Ferris State,Canisius,False,20221014,2023,3,5,0
86,Bowling Green,Western Michigan,False,20221014,2023,2,8,0
87,Lake Superior State,Omaha,False,20221014,2023,1,3,0
88,Notre Dame,Northern Michigan,False,20221014,2023,3,1,0
89,Michigan State,UMass Lowell,False,20221014,2023,2,3,0
90,North Dakota,Quinnipiac,False,20221014,2023,5,5,1
91,Wisconsin,St. Cloud State,False,20221014,2023,1,5,0
92,Minnesota State,Minnesota Duluth,False,20221014,2023,6,0,0
93,Lindenwood,Air Force,False,20221014,2023,7,6,0
94,Arizona State,Colgate,False,20221014,2023,2,0,0
95,Alaska,Michigan Tech,False,20221014,2023,2,6,0
96,Lindenwood,Air Force,False,20221015,2023,3,5,0
97,UConn,Ohio State,False,20221015,2023,6,1,0
98,Bentley,Maine,False,20221015,2023,5,1,0
99,Niagara,American International,False,20221015,2023,2,5,0
100,Lake Superior State,Omaha,False,20221015,2023,4,4,1
101,Rensselaer,Army,False,20221015,2023,7,4,0
102,St. Lawrence,Colorado College,False,20221015,2023,4,1,0
103,New Hampshire,Boston College,False,20221015,2023,2,4,0
104,Rochester,Union,False,20221015,2023,8,5,0
105,Ferris State,Canisius,False,20221015,2023,4,1,0
106,North Dakota,Quinnipiac,False,20221015,2023,2,6,0
107,Minnesota State,Minnesota Duluth,False,20221015,2023,2,1,0
108,UMass,Denver,False,20221015,2023,3,0,0
109,Northeastern,Providence,False,20221015,2023,1,2,0
110,Wisconsin,St. Cloud State,False,20221015,2023,1,2,0
111,Arizona State,Colgate,False,20221015,2023,0,4,0
112,Notre Dame,Northern Michigan,False,20221016,2023,5,4,0
113,Michigan,Boston University,False,20221016,2023,2,3,0
114,American International,Holy Cross,False,20221018,2023,3,7,0
115,Canisius,Rensselaer,False,20221018,2023,3,2,0
116,Merrimack,New Hampshire,False,20221018,2023,6,1,0
117,Northeastern,Boston College,False,20221018,2023,3,3,1
118,Ohio State,Bentley,False,20221020,2023,9,2,0
119,Penn State,St. Thomas - Minnesota,False,20221020,2023,6,2,0
120,Air Force,Rochester,False,20221020,2023,3,2,0
121,Ohio State,Bentley,False,20221021,2023,3,1,0
122,Clarkson,Mercyhurst,False,20221021,2023,1,2,1
123,New Hampshire,Army,False,20221021,2023,3,1,0
124,Canisius,Miami (OH),False,20221021,2023,3,5,0
125,Niagara,Sacred Heart,False,20221021,2023,6,4,0
126,Merrimack,Colgate,False,20221021,2023,5,0,0
127,UMass,Union,False,20221021,2023,7,1,0
128,Penn State,St. Thomas - Minnesota,False,20221021,2023,3,2,1
129,Notre Dame,Western Michigan,False,20221021,2023,2,0,0
130,Michigan State,Long Island University,False,20221021,2023,3,1,0
131,Boston University,UConn,False,20221021,2023,3,4,1
132,Northern Michigan,Alaska Anchorage,False,20221021,2023,9,1,0
133,Lake Superior State,Michigan,False,20221021,2023,2,5,0
134,Michigan Tech,Bemidji State,False,20221021,2023,2,5,0
135,Minnesota,North Dakota,False,20221021,2023,3,2,1
136,Minnesota Duluth,Wisconsin,False,20221021,2023,2,5,0
137,Omaha,Alaska,False,20221021,2023,2,3,1
138,St. Cloud State,Minnesota State,False,20221021,2023,3,2,0
139,Arizona State,Colorado College,False,20221021,2023,5,3,0
140,Denver,Providence,False,20221021,2023,4,1,0
141,Air Force,Rochester,False,20221021,2023,2,4,0
142,Stonehill,New England,False,20221022,2023,2,1,1
143,Canisius,Miami (OH),False,20221022,2023,0,2,0
144,Niagara,Sacred Heart,False,20221022,2023,1,5,0
145,Western Michigan,Notre Dame,False,20221022,2023,4,0,0
146,Michigan State,Long Island University,False,20221022,2023,8,4,0
147,Lake Superior State,Michigan,False,20221022,2023,1,5,0
148,Northern Michigan,Alaska Anchorage,False,20221022,2023,1,3,0
149,Michigan Tech,Bemidji State,False,20221022,2023,2,2,1
150,Vermont,Holy Cross,False,20221022,2023,6,0,0
151,Maine,Quinnipiac,False,20221022,2023,4,0,0
152,UMass,Union,False,20221022,2023,7,0,0
153,Merrimack,Colgate,False,20221022,2023,3,5,0
154,St. Cloud State,Minnesota State,False,20221022,2023,4,3,0
155,Minnesota Duluth,Wisconsin,False,20221022,2023,0,3,0
156,Boston University,UConn,False,20221022,2023,5,2,0
157,Northeastern,UMass Lowell,False,20221022,2023,2,3,0
158,American International,Lindenwood,False,20221022,2023,5,0,0
159,Clarkson,Mercyhurst,False,20221022,2023,5,1,0
