,ht,at,n,Date,Year,PTS,OPP,OT
0,UMass,Rensselaer,False,20091008,2010,5,2,0
1,Ohio State,Quinnipiac,False,20091008,2010,2,4,0
2,Minnesota State,Bowling Green,False,20091009,2010,3,2,0
3,St. Lawrence,UMass Lowell,False,20091009,2010,0,3,0
4,Michigan State,Clarkson,False,20091009,2010,6,1,0
5,Niagara,Colgate,False,20091009,2010,4,4,1
6,Union,Maine,False,20091009,2010,4,1,0
7,Ohio State,Quinnipiac,False,20091009,2010,1,3,0
8,Canisius,Ferris State,False,20091009,2010,1,5,0
9,Michigan Tech,Northern Michigan,False,20091009,2010,5,3,0
10,Notre Dame,Alabama-Huntsville,False,20091009,2010,2,3,0
11,Miami (OH),St. Cloud State,False,20091009,2010,3,2,1
12,Minnesota Duluth,Lake Superior State,False,20091009,2010,4,3,0
13,Bemidji State,Air Force,False,20091009,2010,3,1,0
14,Omaha,Army,False,20091009,2010,6,4,0
15,North Dakota,Merrimack,False,20091009,2010,5,2,0
16,Alaska,Michigan,False,20091009,2010,2,0,0
17,Colorado College,Northeastern,False,20091009,2010,4,2,0
18,Denver,Vermont,False,20091009,2010,5,4,0
19,Alaska Anchorage,Mercyhurst,False,20091009,2010,5,3,0
20,Alaska,Mercyhurst,False,20091010,2010,5,1,0
21,Army,St. Lawrence,False,20091010,2010,2,5,0
22,Michigan State,Clarkson,False,20091010,2010,4,3,0
23,Rochester,Colgate,False,20091010,2010,2,3,0
24,Providence,Holy Cross,False,20091010,2010,2,1,0
25,Rensselaer,New Hampshire,False,20091010,2010,3,1,0
26,Union,Maine,False,20091010,2010,6,3,0
27,Notre Dame,Alabama-Huntsville,False,20091010,2010,3,1,0
28,Miami (OH),St. Cloud State,False,20091010,2010,2,0,0
29,Canisius,Ferris State,False,20091010,2010,1,0,0
30,Omaha,UMass Lowell,False,20091010,2010,4,3,0
31,Bemidji State,Air Force,False,20091010,2010,7,3,0
32,North Dakota,Merrimack,False,20091010,2010,3,2,0
