Team,2022tan,2021tan,2021veg,2022veg,2020tan,2020veg,teamz2022,2022veg,Over/Under,teams2019,2019veg,2018veg
Air Force,10.32,8.34,6.5,8.5,6.57,7.5,Air Force,8.5,-110/-110,Clemson,11.5,
Akron,3.47,2.02,2.5,2.5,4.09,2,Akron,2.5,-105/-115,Alabama,11,
Alabama,11.88,10.34,11.5,10.5,9.31,10.5,Alabama,10.5,-280/220,Georgia,11,11.5
Appalachian State,8.2,8.65,9,8.5,9.03,9.5,Appalachian State,8.5,-120/100,Ohio State,10.5,
Arizona,4.46,4.26,2.5,3,6.79,5,Arizona,3,-105/-115,Oklahoma,10.5,7.5
Arizona State,7.37,8.95,9,6,5.76,7.5,Arizona State,6,-105/-115,Boise State,10,4.5
Arkansas,8.5,7.22,5.5,7.5,3.79,3.5,Arkansas,7.5,130/-150,Army,10,5
Arkansas State,#N/A,3.82,3.5,5,6.23,6.5,Arkansas State,5,105/-125,UCF,9.5,
Army,7.57,8.34,8,8,6.67,6,Army West Point,8,-115/-105,Michigan,9.5,
Auburn,6.62,7.88,7,6.5,8.62,9,Auburn,6.5,145/-170,Texas,9.5,9.5
Ball State,3.31,7.35,8,5.5,6.85,5.5,Ball State,5.5,130/-150,Washington,9.5,
Baylor,5.92,5.58,5.5,7.5,6.24,7,Baylor,7.5,-150/130,Memphis,9.5,
Boise State,7.72,8.6,9,9,9.83,10,Boise State,9,-120/100,Utah,9.5,10
Boston College,4.9,6.72,7,6.5,5.67,4,Boston College,6.5,115/-135,Florida,9,6.5
Bowling Green,3.72,1.14,1.5,4,0.74,2,Bowling Green,4,-145/125,LSU,9,
Buffalo,4.58,9.4,8.5,5.5,8.19,7,Buffalo,5.5,100/-120,Appalachian State,9,
BYU,9.97,5.56,6.5,8.5,6.81,6.5,BYU,8.5,115/-135,Oregon,8.5,5
California,4.77,6.65,5.5,5.5,6.32,6.5,California,5.5,100/-120,Miami,8.5,5.5
Central Michigan,6.96,6.07,6.5,7.5,8.16,6,Central Michigan,7.5,-120/100,Wisconsin,8.5,
Charlotte,4.92,2.71,4.5,4.5,6.05,5,Charlotte,4.5,-110/-110,Nebraska,8.5,
Cincinnati,10.46,10.58,10,9,7.79,8.5,Cincinnati,9,-140/120,Penn State,8.5,
Clemson,10.1,11.21,11.5,10.5,11.72,11.5,Clemson,10.5,110/-130,Notre Dame,8.5,11
Coastal Carolina,7.74,9.94,10,8,6.27,5,Coastal Carolina,8,120/-140,Virginia Tech,8,
Colorado,2.22,5.62,4.5,3,1.61,3,Colorado,3,-110/-110,Washington State,8,5
Colorado State,5.14,4.99,4.5,5.5,8.12,4,Colorado State,5.5,-145/125,Mississippi State,8,6
Duke,2.11,3.06,3.5,3,6.79,5.5,Duke,3,100/-120,Iowa State,8,6
East Carolina,6.97,6.61,4.5,6.5,4.82,4,East Carolina,6.5,120/-140,FAU,8,
Eastern Michigan,7.67,6.73,6.5,6.5,2.9,4,Eastern Michigan,6.5,145/-170,Toledo,8,
Florida,6.52,8.72,9,7,10.03,10,FIU,3,-115/-105,San Diego State,8,8
Florida Atlantic,5.29,7.72,7,5.5,5.74,7.5,Florida,7,-125/105,Fresno State,8,8.5
Florida International,2.01,5.5,4.5,3,4.39,6,Florida Atlantic,5.5,-170/145,Iowa,8,
Florida State,7.72,4.98,5.5,6.5,8.27,7.5,Florida State,6.5,-135/115,Auburn,7.5,7.5
Fresno State,9.61,6.46,6,8.5,7.42,6,Fresno State,8.5,-130/110,NC State,7.5,8
Georgia,11.66,9.7,10.5,10.5,10.08,10,Georgia,10.5,-240/195,Michigan State,7.5,10.5
Georgia Southern,5.06,4.27,4.5,4.5,6.37,6.5,Georgia Southern,4.5,125/-145,TCU,7.5,
Georgia State,6.44,6.31,5.5,7.5,5.3,5,Georgia State,7.5,130/-150,FIU,7.5,
Georgia Tech,3.14,5.77,4.5,3.5,4.22,2.5,Georgia Tech,3.5,100/-120,Southern Miss,7.5,6.5
Hawai'i,3.4,6.62,6,4.5,5.49,6,Hawaii (13 Games),4.5,120/-140,North Texas,7.5,
Houston,10.23,8.43,8,9,6.62,5.5,Houston,9,-125/105,Louisiana Tech,7.5,
Illinois,3.81,4.89,3,4.5,5.13,5,Illinois,4.5,-125/105,Ohio,7.5,
Indiana,2.87,7.25,8,4,8.24,7,Indiana,4,-120/100,Western Michigan,7.5,
Iowa,8.57,7.72,8.5,7.5,4.65,7.5,Iowa,7.5,-105/-115,Texas A&M,7.5,7.5
Iowa State,6.4,9.78,9.5,6.5,9.75,7.5,Iowa State,6.5,-110/-110,Arkansas State,7.5,6.5
Kansas,3.42,1.15,1,2.5,1.42,3,James Madison,6.5,120/-150,Baylor,7.5,
Kansas State,7.09,5.11,5.5,6.5,6.39,6,Kansas,2.5,-135/115,Minnesota,7.5,6.5
Kent State,3.43,5.34,5,5,4.68,4.5,Kansas State,6.5,-170/145,Marshall,7.5,
